冊別,類型,篇名,來源單元,題號,題目,選項A,選項B,選項C,選項D,選項E,選項F,正確答案,解析,題目卷檔名,答案卷檔名
英語第三冊,語言學習結構內容,"情態助動詞 (should, would, could)","英語第三冊_語言學習結構內容_情態助動詞 (should, would, could)",10,A: Would you like anything else? B: ___________________,"Yes, thank you.","Not at all, thank you.","That will be all, thanks.",,,,C,,"英語第三冊_語言學習結構內容_情態助動詞 (should, would, could)_題目卷.pdf","英語第三冊_語言學習結構內容_情態助動詞 (should, would, could)_答案卷.pdf"
英語第三冊,語言學習結構內容,"情態助動詞 (should, would, could)","英語第三冊_語言學習結構內容_情態助動詞 (should, would, could)",11,A: Would you like anything to drink? B: ______________,"A cola, please.","A hot dog, please.","A small order, please.",,,,A,,"英語第三冊_語言學習結構內容_情態助動詞 (should, would, could)_題目卷.pdf","英語第三冊_語言學習結構內容_情態助動詞 (should, would, could)_答案卷.pdf"
英語第三冊,語言學習結構內容,"情態助動詞 (should, would, could)","英語第三冊_語言學習結構內容_情態助動詞 (should, would, could)",12,A: I don't feel like going there. B: __________________.,"I don't like, either.","Well, how about going to a movie?",What a good idea,,,,B,,"英語第三冊_語言學習結構內容_情態助動詞 (should, would, could)_題目卷.pdf","英語第三冊_語言學習結構內容_情態助動詞 (should, would, could)_答案卷.pdf"
英語第三冊,語言學習結構內容,"情態助動詞 (should, would, could)","英語第三冊_語言學習結構內容_情態助動詞 (should, would, could)",13,A: Would you like some fries or chicken? B: _____________,"I would like to, thank you.","I'll have fries, please.","Yes, please.",,,,B,,"英語第三冊_語言學習結構內容_情態助動詞 (should, would, could)_題目卷.pdf","英語第三冊_語言學習結構內容_情態助動詞 (should, would, could)_答案卷.pdf"
英語第三冊,語言學習結構內容,"情態助動詞 (should, would, could)","英語第三冊_語言學習結構內容_情態助動詞 (should, would, could)",14,"________ you pass(傳遞) the salt, please?",Would,Must,Should,,,,A,,"英語第三冊_語言學習結構內容_情態助動詞 (should, would, could)_題目卷.pdf","英語第三冊_語言學習結構內容_情態助動詞 (should, would, could)_答案卷.pdf"
英語第三冊,語言學習結構內容,"情態助動詞 (should, would, could)","英語第三冊_語言學習結構內容_情態助動詞 (should, would, could)",15,____ like you to meet my friend.,I'm,I'd,I should,,,,B,,"英語第三冊_語言學習結構內容_情態助動詞 (should, would, could)_題目卷.pdf","英語第三冊_語言學習結構內容_情態助動詞 (should, would, could)_答案卷.pdf"
英語第三冊,語言學習結構內容,"情態助動詞 (should, would, could)","英語第三冊_語言學習結構內容_情態助動詞 (should, would, could)",16,(at the shop),Clerk: May I help you? Jenny: _________________.,"Just looking around, thank you","Sure, leave me alone.","Yes, see you next time.",,,A,,"英語第三冊_語言學習結構內容_情態助動詞 (should, would, could)_題目卷.pdf","英語第三冊_語言學習結構內容_情態助動詞 (should, would, could)_答案卷.pdf"
英語第三冊,語言學習結構內容,"情態助動詞 (should, would, could)","英語第三冊_語言學習結構內容_情態助動詞 (should, would, could)",17,They should talk more slowly.,They talk too quickly.,They would like to talk more slowly.,They might have slower talks.,,,,A,,"英語第三冊_語言學習結構內容_情態助動詞 (should, would, could)_題目卷.pdf","英語第三冊_語言學習結構內容_情態助動詞 (should, would, could)_答案卷.pdf"
英語第三冊,語言學習結構內容,"情態助動詞 (should, would, could)","英語第三冊_語言學習結構內容_情態助動詞 (should, would, could)",18,Would you like _______________?,see a movie,to have a cup of coffee,to seeing a movie,,,,B,,"英語第三冊_語言學習結構內容_情態助動詞 (should, would, could)_題目卷.pdf","英語第三冊_語言學習結構內容_情態助動詞 (should, would, could)_答案卷.pdf"
英語第三冊,語言學習結構內容,"情態助動詞 (should, would, could)","英語第三冊_語言學習結構內容_情態助動詞 (should, would, could)",19,"______ would you like to go, a coffee shop or a fast food restaurant?",What,How,Where,,,,C,,"英語第三冊_語言學習結構內容_情態助動詞 (should, would, could)_題目卷.pdf","英語第三冊_語言學習結構內容_情態助動詞 (should, would, could)_答案卷.pdf"
英語第三冊,語言學習結構內容,"情態助動詞 (should, would, could)","英語第三冊_語言學習結構內容_情態助動詞 (should, would, could)",20,Would you like to ______________?,a ride,riding,take a ride,,,,C,,"英語第三冊_語言學習結構內容_情態助動詞 (should, would, could)_題目卷.pdf","英語第三冊_語言學習結構內容_情態助動詞 (should, would, could)_答案卷.pdf"
英語第三冊,語言學習結構內容,"情態助動詞 (should, would, could)","英語第三冊_語言學習結構內容_情態助動詞 (should, would, could)",21,A: Could you please say that again? B: __________________,I'm afraid I don't know.,Okay.,"No, I'll do that again.",,,,B,,"英語第三冊_語言學習結構內容_情態助動詞 (should, would, could)_題目卷.pdf","英語第三冊_語言學習結構內容_情態助動詞 (should, would, could)_答案卷.pdf"
英語第三冊,語言學習結構內容,"情態助動詞 (should, would, could)","英語第三冊_語言學習結構內容_情態助動詞 (should, would, could)",22,A: I don't know how to do this. Could you tell me how?,B: ________________,I'd be happy.,Say again?,I'd be glad to.,,,C,,"英語第三冊_語言學習結構內容_情態助動詞 (should, would, could)_題目卷.pdf","英語第三冊_語言學習結構內容_情態助動詞 (should, would, could)_答案卷.pdf"
英語第三冊,語言學習結構內容,"情態助動詞 (should, would, could)","英語第三冊_語言學習結構內容_情態助動詞 (should, would, could)",23,A: Could I ask you to help? B: _________________,Of course. I'd be happy to.,"No, thanks.",You've already helped me.,,,,A,,"英語第三冊_語言學習結構內容_情態助動詞 (should, would, could)_題目卷.pdf","英語第三冊_語言學習結構內容_情態助動詞 (should, would, could)_答案卷.pdf"
英語第三冊,語言學習結構內容,"感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)",1,My Chinese teacher looked _______ because she lost her cute little dog.,happy,happily,sad,sadly,,,C,,"英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_題目卷.pdf","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_答案卷.pdf"
英語第三冊,語言學習結構內容,"感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)",2,"Taylor: ____________
Vicky: It looks like a little tiger.",How does the tiger do it?,What does the cat look like?,Why is the cat like the tiger?,Does the cat like the tiger?,,,B,,"英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_題目卷.pdf","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_答案卷.pdf"
英語第三冊,語言學習結構內容,"感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)",3,"If you ask some people ______ the cheese smells, they will probably tell you that it smells terrible.
probably 可能地",what,how,when,where,,,B,,"英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_題目卷.pdf","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_答案卷.pdf"
英語第三冊,語言學習結構內容,"感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)",4,"Patty: I saw you ______ a girl in the park yesterday. Who was she? Your new girlfriend?
Rick: Oh, that was my mom, not my girlfriend.
Patty: Wow! She looks so young.
Rick: She will be happy to hear that!",to dance with,talked to,be taken by,taking a walk with,,,D,,"英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_題目卷.pdf","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_答案卷.pdf"
英語第三冊,語言學習結構內容,"感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)",5,"Mary: Did you hear anyone _______ late last night?
Nick: No, I was too tired to hear anything.",to talk,cried,was singing,shouting,,,D,,"英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_題目卷.pdf","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_答案卷.pdf"
英語第三冊,語言學習結構內容,"感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)",6,"A:What's wrong with Jane? She ______ so sad.
B:She got bad grades.",is like,looks at,likes,looks,,,D,,"英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_題目卷.pdf","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_答案卷.pdf"
英語第三冊,語言學習結構內容,"感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)",7,"Jason: What happened to Wendy?
John: She became ________ after her trip to South Africa. She looked weak.",sick,lovely,young,friendly,,,A,,"英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_題目卷.pdf","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_答案卷.pdf"
英語第三冊,語言學習結構內容,"感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)",8,"When I opened the window, I felt the wind ________on my face.",blows,blew,blowing,to blow,,,C,,"英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_題目卷.pdf","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_答案卷.pdf"
英語第三冊,語言學習結構內容,"感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)",9,Jennifer looked ____ when his class lost the game.,unhappy,happy,stupid,,,,A,,"英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_題目卷.pdf","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_答案卷.pdf"
英語第三冊,語言學習結構內容,"感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)",10,Your plans for the weekend ____ interesting. I can't wait.,hear,feel,sound,,,,C,,"英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_題目卷.pdf","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_答案卷.pdf"
英語第三冊,語言學習結構內容,"感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)",11,The blue jacket looks ____ on you than the red one.,good,well,better,,,,C,,"英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_題目卷.pdf","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_答案卷.pdf"
英語第三冊,語言學習結構內容,"感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)",12,I felt ___ about my lost bike.,interesting,sad,happy,,,,B,,"英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_題目卷.pdf","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_答案卷.pdf"
英語第三冊,語言學習結構內容,"感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)",13,Sally feels ____. This is her first time to fly to Japan tomorrow morning.,beautiful,sweet,excited,,,,C,,"英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_題目卷.pdf","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_答案卷.pdf"
英語第三冊,語言學習結構內容,"感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)",14,Dad: Why do you look so______? Mary: I didn't do well on my best subject in this test.,happy,sad,funny,,,,B,,"英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_題目卷.pdf","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_答案卷.pdf"
英語第三冊,語言學習結構內容,"感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)",15,Take an umbrella with you when you go out. It _____ rain.,looks like,smells,looks,,,,A,,"英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_題目卷.pdf","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_答案卷.pdf"
英語第三冊,語言學習結構內容,"感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)",16,Your hands look very____ . Go wash your hands before we sit down for dinner.,dirty,ugly,dry,,,,A,,"英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_題目卷.pdf","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_答案卷.pdf"
英語第三冊,語言學習結構內容,"感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)",17,The air in the house smells like ____. There must be something wrong. Are you cooking now?,fried chicken,fire,candy,,,,B,,"英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_題目卷.pdf","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_答案卷.pdf"
英語第三冊,語言學習結構內容,"感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)",18,A: Why did Miss Li look ________ at that moment?,B: I don't know.,angrily,angry,being angry,,,B,,"英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_題目卷.pdf","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_答案卷.pdf"
英語第三冊,語言學習結構內容,"感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)",19,I heard Jason_____ music so well. I almost think he is a great musician.,play,played,to play,,,,A,,"英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_題目卷.pdf","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_答案卷.pdf"
英語第三冊,語言學習結構內容,"感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)",20,Tina: I felt the car _____ .,Jack: Really? How come I didn't feel that?,to moving,to move,moving,,,C,,"英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_題目卷.pdf","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_答案卷.pdf"
英語第三冊,語言學習結構內容,"感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)",21,Mom: ____ did David look at school?,Teacher: A little sad. I don't know why.,How,What,Why,,,A,,"英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_題目卷.pdf","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_答案卷.pdf"
英語第三冊,語言學習結構內容,"感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)",22,Mrs Li: Take a jacket with you when you go out. It will get ____ this afternoon.,David: OK. I'll do that.,hot,cold,sunny,,,B,,"英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_題目卷.pdf","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_答案卷.pdf"
英語第三冊,語言學習結構內容,"感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)",23,Any food would smell _____ to me when I am hungry.,well,same,delicious,,,,C,,"英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_題目卷.pdf","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_答案卷.pdf"
英語第三冊,語言學習結構內容,"感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)",24,I saw Tom ___ to school. What happened to his bike?,walked,walking,walks,,,,B,,"英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_題目卷.pdf","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_答案卷.pdf"
英語第三冊,語言學習結構內容,"感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)",25,The town looks very _____ now. There are so many tall buildings in this town.,serious,well,different,,,,C,,"英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_題目卷.pdf","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_答案卷.pdf"
英語第三冊,語言學習結構內容,"感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)",26,A: _____ is the weather like in Taiwan? When is the best time to visit it?,B: It is fine all the year. You may visit Taiwan at any time.,How,What,Why,,,B,,"英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_題目卷.pdf","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_答案卷.pdf"
英語第三冊,語言學習結構內容,"感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)",27,In Thailand I watched the elephant _____ soccer. It was very interesting.,to play,play,to be played,,,,B,,"英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_題目卷.pdf","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_答案卷.pdf"
英語第三冊,語言學習結構內容,"感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)",28,A: What was wrong with Mary? She looked sad yesterday.,B: I don't think so. She sounded ____ when I called her yesterday.,happy,serious,tired,,,A,,"英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_題目卷.pdf","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_答案卷.pdf"
英語第三冊,語言學習結構內容,"感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)",29,"Each question on this test looks very _________, so I'm sure everyone can pass it.",difficult,easier,easy,,,,C,,"英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_題目卷.pdf","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_答案卷.pdf"
英語第三冊,語言學習結構內容,"感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)",30,"David saw his girlfriend ________ for him outside the classroom, so he walked quickly to her.",waiting,is waiting,waited,,,,A,,"英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_題目卷.pdf","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_答案卷.pdf"
英語第三冊,語言學習結構內容,"感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)",31,J.K. Rowling _________ rich after she wrote her“Harry Potter.” She is no longer worried about money.,sounded,looked,became,,,,C,,"英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_題目卷.pdf","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_答案卷.pdf"
英語第三冊,語言學習結構內容,"感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)",32,Many little children sat around the old woman to listen to her _________ a story of her own.,tells,told,telling,,,,C,,"英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_題目卷.pdf","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_答案卷.pdf"
英語第三冊,語言學習結構內容,"感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)",33,"On his way to school, Peter saw a duck _______ up to a tree.",climbing,to climb,climbs,,,,A,,"英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_題目卷.pdf","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_答案卷.pdf"
英語第三冊,語言學習結構內容,"感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)",34,"Angel: The skirt looks very _____ on you.
Jenny: Thank you.
Angel: Where did you get it?
Jenny: It's a birthday gift.",correct,dirty,free,nice,,,D,,"英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_題目卷.pdf","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_答案卷.pdf"
英語第三冊,語言學習結構內容,"感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)",35,I always feel __________ when I help those poor people.,happy,funny,lovely,,,,A,,"英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_題目卷.pdf","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_答案卷.pdf"
英語第三冊,語言學習結構內容,"感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)",36,It's ___________ cooler. You have to put on your jacket when you go out.,looking,sounding,getting,,,,C,,"英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_題目卷.pdf","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_答案卷.pdf"
英語第三冊,語言學習結構內容,"感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)",37,"I didn't do well on the test, so my father looked ______________.",happy,great,angry,,,,C,,"英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_題目卷.pdf","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_答案卷.pdf"
英語第三冊,語言學習結構內容,"感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)",38,Stop laughing! Can't you see her _________ sadly?,to cry,crying,cries,,,,B,,"英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_題目卷.pdf","英語第三冊_語言學習結構內容_感官動詞 (hear, see, watch, feel) 、連綴動詞 (look, sound, taste)_答案卷.pdf"
英語第三冊,語言學習結構內容,"未來式 will, be going to, 包含直述疑問否定","英語第三冊_語言學習結構內容_未來式 will, be going to, 包含直述疑問否定",1,"Pam: ______ you coming to the dinner at Zara tonight?
Tim: No, I have to work late. Really sorry about that.",Will,Would,Are,Have,,,C,,"英語第三冊_語言學習結構內容_未來式 will, be going to, 包含直述疑問否定_題目卷.pdf","英語第三冊_語言學習結構內容_未來式 will, be going to, 包含直述疑問否定_答案卷.pdf"
英語第三冊,語言學習結構內容,"未來式 will, be going to, 包含直述疑問否定","英語第三冊_語言學習結構內容_未來式 will, be going to, 包含直述疑問否定",2,"Cathy: ___________ a free magic show in the student center tonight. Are you interested in going?
Nancy: Of course! Let's go together!",They are going to,They will be,There will be,There will have,,,C,,"英語第三冊_語言學習結構內容_未來式 will, be going to, 包含直述疑問否定_題目卷.pdf","英語第三冊_語言學習結構內容_未來式 will, be going to, 包含直述疑問否定_答案卷.pdf"
